Date,BTC,NYSE,NASDAQ,LSE,BTC_Volume,NYSE_Volume,NASDAQ_Volume,LSE_Volume
1/2/2018,14982.09961,12902.71973,7006.899902,3742,16846600192,3397430000,1929700000,497857
1/3/2018,15201,12957.28027,7065.529785,3749,16871900160,3544030000,2173130000,1009997
1/4/2018,15599.2002,13028.45996,7077.910156,3749,21783199744,3697340000,2103220000,669448
1/5/2018,17429.5,13103.23047,7136.560059,3758,23840899072,3239280000,2024000000,2225274
1/8/2018,15170.09961,13114.34961,7157.390137,3744,18413899776,3246160000,2055010000,930995
1/9/2018,14595.40039,13120.83984,7163.580078,3719,16659999744,3467460000,2155810000,1035866
1/10/2018,14973.29981,13106.59961,7153.569824,3700,18500800512,3579900000,2132430000,1955527
1/11/2018,13405.79981,13210.76953,7211.779785,3649,16534099968,3645690000,2015170000,1393681
1/12/2018,13980.59961,13294.32031,7261.060059,3700,12065699840,3587220000,1986600000,1674254
1/16/2018,11490.5,13246.86035,7223.689941,3699,18853799936,4362880000,2399790000,1322314
1/17/2018,11188.59961,13352.38965,7298.279785,3689,18830600192,3790340000,2245910000,1272976
1/18/2018,11474.90039,13315.91016,7296.049805,3695,15020399616,3703300000,2037410000,1607451
1/19/2018,11607.40039,13384.45996,7336.379883,3751,10740400128,3724230000,2005470000,4260311
1/22/2018,10931.40039,13470.37012,7408.029785,3719,10537400320,3489480000,2118310000,1226841
1/23/2018,10868.40039,13474.11035,7460.290039,3799,9660609536,3541140000,2135840000,1081253
1/24/2018,11359.40039,13507.66016,7415.060059,3988,9940989952,4079270000,2287320000,2949328
1/25/2018,11259.40039,13512.66016,7411.160156,3932,8873169920,3873100000,2081380000,1542647
1/26/2018,11171.40039,13637.01953,7505.77002,4024,9746199552,3474680000,2080700000,2707810
1/29/2018,11296.40039,13524.65039,7466.509766,4025,7107359744,3587420000,2114420000,1443655
1/30/2018,10106.29981,13375.50977,7402.47998,3989,8637859840,4012070000,2183420000,1712692
1/31/2018,10221.09961,13367.95996,7411.47998,3927,8041160192,4276270000,2428990000,1199107
2/1/2018,9170.540039,13381.96973,7385.859863,3995,9959400448,3977380000,2311180000,4316612
2/2/2018,8830.75,13085.34961,7240.950195,4016,12726899712,4340220000,2607160000,3305927
2/5/2018,6955.27002,12572.92969,6967.529785,3955,9285289984,5310840000,3143210000,1488483
2/6/2018,7754,12745.4502,7115.879883,3912,13999800320,5917350000,3148270000,2170301
2/7/2018,7621.299805,12687.17969,7051.97998,4043,9169280000,4646300000,2380020000,1365530
